,source,target,graph
267,2,4,1
355,2,5,1
443,2,6,1
531,2,7,1
619,2,8,1
707,2,9,1
795,2,10,1
883,2,11,1
971,2,12,1
1059,2,13,1
1147,2,14,1
1235,2,15,1
1323,2,16,1
1411,2,17,1
1499,2,18,1
1587,2,19,1
1675,2,20,1
1763,2,21,1
1851,2,22,1
1939,2,23,1
2027,2,24,1
2115,2,25,1
2203,2,26,1
2291,2,27,1
2379,2,28,1
2467,2,29,1
2555,2,30,1
2643,2,31,1
2731,2,32,1
2819,2,33,1
2907,2,34,1
2995,2,35,1
3083,2,36,1
3171,2,37,1
3259,2,38,1
3347,2,39,1
3435,2,40,1
3523,2,41,1
3611,2,42,1
3699,2,43,1
3787,2,44,1
3875,2,45,1
3,3,1,1
91,3,2,1
176,3,1,1
178,3,2,1
180,3,4,1
182,3,5,1
184,3,6,1
186,3,7,1
188,3,8,1
190,3,9,1
192,3,10,1
194,3,11,1
196,3,12,1
198,3,13,1
200,3,14,1
202,3,15,1
204,3,16,1
206,3,17,1
208,3,18,1
210,3,19,1
212,3,20,1
214,3,21,1
216,3,22,1
218,3,23,1
220,3,24,1
222,3,25,1
224,3,26,1
226,3,27,1
228,3,28,1
230,3,29,1
232,3,30,1
234,3,31,1
236,3,32,1
238,3,33,1
240,3,34,1
242,3,35,1
244,3,36,1
246,3,37,1
248,3,38,1
250,3,39,1
252,3,40,1
254,3,41,1
256,3,42,1
258,3,43,1
260,3,44,1
262,3,45,1
269,3,4,1
357,3,5,1
445,3,6,1
533,3,7,1
621,3,8,1
709,3,9,1
797,3,10,1
885,3,11,1
973,3,12,1
1061,3,13,1
1149,3,14,1
1237,3,15,1
1325,3,16,1
1413,3,17,1
1501,3,18,1
1589,3,19,1
1677,3,20,1
1765,3,21,1
1853,3,22,1
1941,3,23,1
2029,3,24,1
2117,3,25,1
2205,3,26,1
2293,3,27,1
2381,3,28,1
2469,3,29,1
2557,3,30,1
2645,3,31,1
2733,3,32,1
2821,3,33,1
2909,3,34,1
2997,3,35,1
3085,3,36,1
3173,3,37,1
3261,3,38,1
3349,3,39,1
3437,3,40,1
3525,3,41,1
3613,3,42,1
3701,3,43,1
3789,3,44,1
3877,3,45,1
5,4,1,1
93,4,2,1
181,4,3,1
264,4,1,1
266,4,2,1
268,4,3,1
270,4,5,1
272,4,6,1
274,4,7,1
276,4,8,1
278,4,9,1
280,4,10,1
282,4,11,1
284,4,12,1
286,4,13,1
288,4,14,1
290,4,15,1
292,4,16,1
294,4,17,1
296,4,18,1
298,4,19,1
300,4,20,1
302,4,21,1
304,4,22,1
306,4,23,1
308,4,24,1
310,4,25,1
312,4,26,1
314,4,27,1
316,4,28,1
318,4,29,1
320,4,30,1
322,4,31,1
324,4,32,1
326,4,33,1
328,4,34,1
330,4,35,1
332,4,36,1
334,4,37,1
336,4,38,1
338,4,39,1
340,4,40,1
342,4,41,1
344,4,42,1
346,4,43,1
348,4,44,1
350,4,45,1
359,4,5,1
447,4,6,1
535,4,7,1
623,4,8,1
711,4,9,1
799,4,10,1
887,4,11,1
975,4,12,1
1063,4,13,1
1151,4,14,1
1239,4,15,1
1327,4,16,1
1415,4,17,1
1503,4,18,1
1591,4,19,1
1679,4,20,1
1767,4,21,1
1855,4,22,1
1943,4,23,1
2031,4,24,1
2119,4,25,1
2207,4,26,1
2295,4,27,1
2383,4,28,1
2471,4,29,1
2559,4,30,1
2647,4,31,1
2735,4,32,1
2823,4,33,1
2911,4,34,1
2999,4,35,1
3087,4,36,1
3175,4,37,1
3263,4,38,1
3351,4,39,1
3439,4,40,1
3527,4,41,1
3615,4,42,1
3703,4,43,1
3791,4,44,1
3879,4,45,1
7,5,1,1
95,5,2,1
183,5,3,1
271,5,4,1
352,5,1,1
354,5,2,1
356,5,3,1
358,5,4,1
360,5,6,1
362,5,7,1
364,5,8,1
366,5,9,1
368,5,10,1
370,5,11,1
372,5,12,1
374,5,13,1
376,5,14,1
378,5,15,1
380,5,16,1
382,5,17,1
384,5,18,1
386,5,19,1
388,5,20,1
390,5,21,1
392,5,22,1
394,5,23,1
396,5,24,1
398,5,25,1
400,5,26,1
402,5,27,1
404,5,28,1
406,5,29,1
408,5,30,1
410,5,31,1
412,5,32,1
414,5,33,1
416,5,34,1
418,5,35,1
420,5,36,1
422,5,37,1
424,5,38,1
426,5,39,1
428,5,40,1
430,5,41,1
432,5,42,1
434,5,43,1
436,5,44,1
438,5,45,1
449,5,6,1
537,5,7,1
625,5,8,1
713,5,9,1
801,5,10,1
889,5,11,1
977,5,12,1
1065,5,13,1
1153,5,14,1
1241,5,15,1
1329,5,16,1
1417,5,17,1
1505,5,18,1
1593,5,19,1
1681,5,20,1
1769,5,21,1
1857,5,22,1
1945,5,23,1
2033,5,24,1
2121,5,25,1
2209,5,26,1
2297,5,27,1
2385,5,28,1
2473,5,29,1
2561,5,30,1
2649,5,31,1
2737,5,32,1
2825,5,33,1
2913,5,34,1
3001,5,35,1
3089,5,36,1
3177,5,37,1
3265,5,38,1
3353,5,39,1
3441,5,40,1
3529,5,41,1
3617,5,42,1
3705,5,43,1
3793,5,44,1
3881,5,45,1
9,6,1,1
97,6,2,1
185,6,3,1
273,6,4,1
361,6,5,1
440,6,1,1
442,6,2,1
444,6,3,1
446,6,4,1
448,6,5,1
450,6,7,1
452,6,8,1
454,6,9,1
456,6,10,1
458,6,11,1
460,6,12,1
462,6,13,1
464,6,14,1
466,6,15,1
468,6,16,1
470,6,17,1
472,6,18,1
474,6,19,1
476,6,20,1
478,6,21,1
480,6,22,1
482,6,23,1
484,6,24,1
486,6,25,1
488,6,26,1
490,6,27,1
492,6,28,1
494,6,29,1
496,6,30,1
498,6,31,1
500,6,32,1
502,6,33,1
504,6,34,1
506,6,35,1
508,6,36,1
510,6,37,1
512,6,38,1
514,6,39,1
516,6,40,1
518,6,41,1
520,6,42,1
522,6,43,1
524,6,44,1
526,6,45,1
539,6,7,1
627,6,8,1
715,6,9,1
803,6,10,1
891,6,11,1
979,6,12,1
1067,6,13,1
1155,6,14,1
1243,6,15,1
1331,6,16,1
1419,6,17,1
1507,6,18,1
1595,6,19,1
1683,6,20,1
1771,6,21,1
1859,6,22,1
1947,6,23,1
2035,6,24,1
2123,6,25,1
2211,6,26,1
2299,6,27,1
2387,6,28,1
2475,6,29,1
2563,6,30,1
2651,6,31,1
2739,6,32,1
2827,6,33,1
2915,6,34,1
3003,6,35,1
3091,6,36,1
3179,6,37,1
3267,6,38,1
3355,6,39,1
3443,6,40,1
3531,6,41,1
3619,6,42,1
3707,6,43,1
3795,6,44,1
3883,6,45,1
11,7,1,1
99,7,2,1
187,7,3,1
275,7,4,1
363,7,5,1
451,7,6,1
528,7,1,1
530,7,2,1
532,7,3,1
534,7,4,1
536,7,5,1
538,7,6,1
540,7,8,1
542,7,9,1
544,7,10,1
546,7,11,1
548,7,12,1
550,7,13,1
552,7,14,1
554,7,15,1
556,7,16,1
558,7,17,1
560,7,18,1
562,7,19,1
564,7,20,1
566,7,21,1
568,7,22,1
570,7,23,1
572,7,24,1
574,7,25,1
576,7,26,1
578,7,27,1
580,7,28,1
582,7,29,1
584,7,30,1
586,7,31,1
588,7,32,1
590,7,33,1
592,7,34,1
594,7,35,1
596,7,36,1
598,7,37,1
600,7,38,1
602,7,39,1
604,7,40,1
606,7,41,1
608,7,42,1
610,7,43,1
612,7,44,1
614,7,45,1
629,7,8,1
717,7,9,1
805,7,10,1
893,7,11,1
981,7,12,1
1069,7,13,1
1157,7,14,1
1245,7,15,1
1333,7,16,1
1421,7,17,1
1509,7,18,1
1597,7,19,1
1685,7,20,1
1773,7,21,1
1861,7,22,1
1949,7,23,1
2037,7,24,1
2125,7,25,1
2213,7,26,1
2301,7,27,1
2389,7,28,1
2477,7,29,1
2565,7,30,1
2653,7,31,1
2741,7,32,1
2829,7,33,1
2917,7,34,1
3005,7,35,1
3093,7,36,1
3181,7,37,1
3269,7,38,1
3357,7,39,1
3445,7,40,1
3533,7,41,1
3621,7,42,1
3709,7,43,1
3797,7,44,1
3885,7,45,1
13,8,1,1
101,8,2,1
189,8,3,1
277,8,4,1
365,8,5,1
453,8,6,1
541,8,7,1
616,8,1,1
618,8,2,1
620,8,3,1
622,8,4,1
624,8,5,1
626,8,6,1
628,8,7,1
630,8,9,1
632,8,10,1
634,8,11,1
636,8,12,1
638,8,13,1
640,8,14,1
642,8,15,1
644,8,16,1
646,8,17,1
648,8,18,1
650,8,19,1
652,8,20,1
654,8,21,1
656,8,22,1
658,8,23,1
660,8,24,1
662,8,25,1
664,8,26,1
666,8,27,1
668,8,28,1
670,8,29,1
672,8,30,1
674,8,31,1
676,8,32,1
678,8,33,1
680,8,34,1
682,8,35,1
684,8,36,1
686,8,37,1
688,8,38,1
690,8,39,1
692,8,40,1
694,8,41,1
696,8,42,1
698,8,43,1
700,8,44,1
702,8,45,1
719,8,9,1
807,8,10,1
895,8,11,1
983,8,12,1
1071,8,13,1
1159,8,14,1
1247,8,15,1
1335,8,16,1
1423,8,17,1
1511,8,18,1
1599,8,19,1
1687,8,20,1
1775,8,21,1
1863,8,22,1
1951,8,23,1
2039,8,24,1
2127,8,25,1
2215,8,26,1
2303,8,27,1
2391,8,28,1
2479,8,29,1
2567,8,30,1
2655,8,31,1
2743,8,32,1
2831,8,33,1
2919,8,34,1
3007,8,35,1
3095,8,36,1
3183,8,37,1
3271,8,38,1
3359,8,39,1
3447,8,40,1
3535,8,41,1
3623,8,42,1
3711,8,43,1
3799,8,44,1
3887,8,45,1
15,9,1,1
103,9,2,1
191,9,3,1
279,9,4,1
367,9,5,1
455,9,6,1
543,9,7,1
631,9,8,1
704,9,1,1
706,9,2,1
708,9,3,1
710,9,4,1
712,9,5,1
714,9,6,1
716,9,7,1
718,9,8,1
720,9,10,1
722,9,11,1
724,9,12,1
726,9,13,1
728,9,14,1
730,9,15,1
732,9,16,1
734,9,17,1
736,9,18,1
738,9,19,1
740,9,20,1
742,9,21,1
744,9,22,1
746,9,23,1
748,9,24,1
750,9,25,1
752,9,26,1
754,9,27,1
756,9,28,1
758,9,29,1
760,9,30,1
762,9,31,1
764,9,32,1
766,9,33,1
768,9,34,1
770,9,35,1
772,9,36,1
774,9,37,1
776,9,38,1
778,9,39,1
780,9,40,1
782,9,41,1
784,9,42,1
786,9,43,1
788,9,44,1
790,9,45,1
809,9,10,1
897,9,11,1
985,9,12,1
1073,9,13,1
1161,9,14,1
1249,9,15,1
1337,9,16,1
1425,9,17,1
1513,9,18,1
1601,9,19,1
1689,9,20,1
1777,9,21,1
1865,9,22,1
1953,9,23,1
2041,9,24,1
2129,9,25,1
2217,9,26,1
2305,9,27,1
2393,9,28,1
2481,9,29,1
2569,9,30,1
2657,9,31,1
2745,9,32,1
2833,9,33,1
2921,9,34,1
3009,9,35,1
3097,9,36,1
3185,9,37,1
3273,9,38,1
3361,9,39,1
3449,9,40,1
3537,9,41,1
3625,9,42,1
3713,9,43,1
3801,9,44,1
3889,9,45,1
17,10,1,1
105,10,2,1
193,10,3,1
281,10,4,1
369,10,5,1
457,10,6,1
545,10,7,1
633,10,8,1
721,10,9,1
792,10,1,1
794,10,2,1
796,10,3,1
798,10,4,1
800,10,5,1
802,10,6,1
804,10,7,1
806,10,8,1
808,10,9,1
810,10,11,1
812,10,12,1
814,10,13,1
816,10,14,1
818,10,15,1
820,10,16,1
822,10,17,1
824,10,18,1
826,10,19,1
828,10,20,1
830,10,21,1
832,10,22,1
834,10,23,1
836,10,24,1
838,10,25,1
840,10,26,1
842,10,27,1
844,10,28,1
846,10,29,1
848,10,30,1
850,10,31,1
852,10,32,1
854,10,33,1
856,10,34,1
858,10,35,1
860,10,36,1
862,10,37,1
864,10,38,1
866,10,39,1
868,10,40,1
870,10,41,1
872,10,42,1
874,10,43,1
876,10,44,1
878,10,45,1
899,10,11,1
987,10,12,1
1075,10,13,1
1163,10,14,1
1251,10,15,1
1339,10,16,1
1427,10,17,1
1515,10,18,1
1603,10,19,1
1691,10,20,1
1779,10,21,1
1867,10,22,1
1955,10,23,1
2043,10,24,1
2131,10,25,1
2219,10,26,1
2307,10,27,1
2395,10,28,1
2483,10,29,1
2571,10,30,1
2659,10,31,1
2747,10,32,1
2835,10,33,1
2923,10,34,1
3011,10,35,1
3099,10,36,1
3187,10,37,1
3275,10,38,1
3363,10,39,1
3451,10,40,1
3539,10,41,1
3627,10,42,1
3715,10,43,1
3803,10,44,1
3891,10,45,1
19,11,1,1
107,11,2,1
195,11,3,1
283,11,4,1
371,11,5,1
459,11,6,1
547,11,7,1
635,11,8,1
723,11,9,1
811,11,10,1
880,11,1,1
882,11,2,1
884,11,3,1
886,11,4,1
888,11,5,1
890,11,6,1
892,11,7,1
894,11,8,1
896,11,9,1
898,11,10,1
900,11,12,1
902,11,13,1
904,11,14,1
906,11,15,1
908,11,16,1
910,11,17,1
912,11,18,1
914,11,19,1
916,11,20,1
918,11,21,1
920,11,22,1
922,11,23,1
924,11,24,1
926,11,25,1
928,11,26,1
930,11,27,1
932,11,28,1
934,11,29,1
936,11,30,1
938,11,31,1
940,11,32,1
942,11,33,1
944,11,34,1
946,11,35,1
948,11,36,1
950,11,37,1
952,11,38,1
954,11,39,1
956,11,40,1
958,11,41,1
960,11,42,1
962,11,43,1
964,11,44,1
966,11,45,1
989,11,12,1
1077,11,13,1
1165,11,14,1
1253,11,15,1
1341,11,16,1
1429,11,17,1
1517,11,18,1
1605,11,19,1
1693,11,20,1
1781,11,21,1
1869,11,22,1
1957,11,23,1
2045,11,24,1
2133,11,25,1
2221,11,26,1
2309,11,27,1
2397,11,28,1
2485,11,29,1
2573,11,30,1
2661,11,31,1
2749,11,32,1
2837,11,33,1
2925,11,34,1
3013,11,35,1
3101,11,36,1
3189,11,37,1
3277,11,38,1
3365,11,39,1
3453,11,40,1
3541,11,41,1
3629,11,42,1
3717,11,43,1
3805,11,44,1
3893,11,45,1
21,12,1,1
109,12,2,1
197,12,3,1
285,12,4,1
373,12,5,1
461,12,6,1
549,12,7,1
637,12,8,1
725,12,9,1
813,12,10,1
901,12,11,1
968,12,1,1
970,12,2,1
972,12,3,1
974,12,4,1
976,12,5,1
978,12,6,1
980,12,7,1
982,12,8,1
984,12,9,1
986,12,10,1
988,12,11,1
990,12,13,1
992,12,14,1
994,12,15,1
996,12,16,1
998,12,17,1
1000,12,18,1
1002,12,19,1
1004,12,20,1
1006,12,21,1
1008,12,22,1
1010,12,23,1
1012,12,24,1
1014,12,25,1
1016,12,26,1
1018,12,27,1
1020,12,28,1
1022,12,29,1
1024,12,30,1
1026,12,31,1
1028,12,32,1
1030,12,33,1
1032,12,34,1
1034,12,35,1
1036,12,36,1
1038,12,37,1
1040,12,38,1
1042,12,39,1
1044,12,40,1
1046,12,41,1
1048,12,42,1
1050,12,43,1
1052,12,44,1
1054,12,45,1
1079,12,13,1
1167,12,14,1
1255,12,15,1
1343,12,16,1
1431,12,17,1
1519,12,18,1
1607,12,19,1
1695,12,20,1
1783,12,21,1
1871,12,22,1
1959,12,23,1
2047,12,24,1
2135,12,25,1
2223,12,26,1
2311,12,27,1
2399,12,28,1
2487,12,29,1
2575,12,30,1
2663,12,31,1
2751,12,32,1
2839,12,33,1
2927,12,34,1
3015,12,35,1
3103,12,36,1
3191,12,37,1
3279,12,38,1
3367,12,39,1
3455,12,40,1
3543,12,41,1
3631,12,42,1
3719,12,43,1
3807,12,44,1
3895,12,45,1
23,13,1,1
111,13,2,1
199,13,3,1
287,13,4,1
375,13,5,1
463,13,6,1
551,13,7,1
639,13,8,1
727,13,9,1
815,13,10,1
903,13,11,1
991,13,12,1
1056,13,1,1
1058,13,2,1
1060,13,3,1
1062,13,4,1
1064,13,5,1
1066,13,6,1
1068,13,7,1
1070,13,8,1
1072,13,9,1
1074,13,10,1
1076,13,11,1
1078,13,12,1
1080,13,14,1
1082,13,15,1
1084,13,16,1
1086,13,17,1
1088,13,18,1
1090,13,19,1
1092,13,20,1
1094,13,21,1
1096,13,22,1
1098,13,23,1
1100,13,24,1
1102,13,25,1
1104,13,26,1
1106,13,27,1
1108,13,28,1
1110,13,29,1
1112,13,30,1
1114,13,31,1
1116,13,32,1
1118,13,33,1
1120,13,34,1
1122,13,35,1
1124,13,36,1
1126,13,37,1
1128,13,38,1
1130,13,39,1
1132,13,40,1
1134,13,41,1
1136,13,42,1
1138,13,43,1
1140,13,44,1
1142,13,45,1
1169,13,14,1
1257,13,15,1
1345,13,16,1
1433,13,17,1
1521,13,18,1
1609,13,19,1
1697,13,20,1
1785,13,21,1
1873,13,22,1
1961,13,23,1
2049,13,24,1
2137,13,25,1
2225,13,26,1
2313,13,27,1
2401,13,28,1
2489,13,29,1
2577,13,30,1
2665,13,31,1
2753,13,32,1
2841,13,33,1
2929,13,34,1
3017,13,35,1
3105,13,36,1
3193,13,37,1
3281,13,38,1
3369,13,39,1
3457,13,40,1
3545,13,41,1
3633,13,42,1
3721,13,43,1
3809,13,44,1
3897,13,45,1
25,14,1,1
113,14,2,1
201,14,3,1
289,14,4,1
377,14,5,1
465,14,6,1
553,14,7,1
641,14,8,1
729,14,9,1
817,14,10,1
905,14,11,1
993,14,12,1
1081,14,13,1
1144,14,1,1
1146,14,2,1
1148,14,3,1
1150,14,4,1
1152,14,5,1
1154,14,6,1
1156,14,7,1
1158,14,8,1
1160,14,9,1
1162,14,10,1
1164,14,11,1
1166,14,12,1
1168,14,13,1
1170,14,15,1
1172,14,16,1
1174,14,17,1
1176,14,18,1
1178,14,19,1
1180,14,20,1
1182,14,21,1
1184,14,22,1
1186,14,23,1
1188,14,24,1
1190,14,25,1
1192,14,26,1
1194,14,27,1
1196,14,28,1
1198,14,29,1
1200,14,30,1
1202,14,31,1
1204,14,32,1
1206,14,33,1
1208,14,34,1
1210,14,35,1
1212,14,36,1
1214,14,37,1
1216,14,38,1
1218,14,39,1
1220,14,40,1
1222,14,41,1
1224,14,42,1
1226,14,43,1
1228,14,44,1
1230,14,45,1
1259,14,15,1
1347,14,16,1
1435,14,17,1
1523,14,18,1
1611,14,19,1
1699,14,20,1
1787,14,21,1
1875,14,22,1
1963,14,23,1
2051,14,24,1
2139,14,25,1
2227,14,26,1
2315,14,27,1
2403,14,28,1
2491,14,29,1
2579,14,30,1
2667,14,31,1
2755,14,32,1
2843,14,33,1
2931,14,34,1
3019,14,35,1
3107,14,36,1
3195,14,37,1
3283,14,38,1
3371,14,39,1
3459,14,40,1
3547,14,41,1
3635,14,42,1
3723,14,43,1
3811,14,44,1
3899,14,45,1
27,15,1,1
115,15,2,1
203,15,3,1
291,15,4,1
379,15,5,1
467,15,6,1
555,15,7,1
643,15,8,1
731,15,9,1
819,15,10,1
907,15,11,1
995,15,12,1
1083,15,13,1
1171,15,14,1
1232,15,1,1
1234,15,2,1
1236,15,3,1
1238,15,4,1
1240,15,5,1
1242,15,6,1
1244,15,7,1
1246,15,8,1
1248,15,9,1
1250,15,10,1
1252,15,11,1
1254,15,12,1
1256,15,13,1
1258,15,14,1
1260,15,16,1
1262,15,17,1
1264,15,18,1
1266,15,19,1
1268,15,20,1
1270,15,21,1
1272,15,22,1
1274,15,23,1
1276,15,24,1
1278,15,25,1
1280,15,26,1
1282,15,27,1
1284,15,28,1
1286,15,29,1
1288,15,30,1
1290,15,31,1
1292,15,32,1
1294,15,33,1
1296,15,34,1
1298,15,35,1
1300,15,36,1
1302,15,37,1
1304,15,38,1
1306,15,39,1
1308,15,40,1
1310,15,41,1
1312,15,42,1
1314,15,43,1
1316,15,44,1
1318,15,45,1
1349,15,16,1
1437,15,17,1
1525,15,18,1
1613,15,19,1
1701,15,20,1
1789,15,21,1
1877,15,22,1
1965,15,23,1
2053,15,24,1
2141,15,25,1
2229,15,26,1
2317,15,27,1
2405,15,28,1
2493,15,29,1
2581,15,30,1
2669,15,31,1
2757,15,32,1
2845,15,33,1
2933,15,34,1
3021,15,35,1
3109,15,36,1
3197,15,37,1
3285,15,38,1
3373,15,39,1
3461,15,40,1
3549,15,41,1
3637,15,42,1
3725,15,43,1
3813,15,44,1
3901,15,45,1
29,16,1,1
117,16,2,1
205,16,3,1
293,16,4,1
381,16,5,1
469,16,6,1
557,16,7,1
645,16,8,1
733,16,9,1
821,16,10,1
909,16,11,1
997,16,12,1
1085,16,13,1
1173,16,14,1
1261,16,15,1
1320,16,1,1
1322,16,2,1
1324,16,3,1
1326,16,4,1
1328,16,5,1
1330,16,6,1
1332,16,7,1
1334,16,8,1
1336,16,9,1
1338,16,10,1
1340,16,11,1
1342,16,12,1
1344,16,13,1
1346,16,14,1
1348,16,15,1
1350,16,17,1
1352,16,18,1
1354,16,19,1
1356,16,20,1
1358,16,21,1
1360,16,22,1
1362,16,23,1
1364,16,24,1
1366,16,25,1
1368,16,26,1
1370,16,27,1
1372,16,28,1
1374,16,29,1
1376,16,30,1
1378,16,31,1
1380,16,32,1
1382,16,33,1
1384,16,34,1
1386,16,35,1
1388,16,36,1
1390,16,37,1
1392,16,38,1
1394,16,39,1
1396,16,40,1
1398,16,41,1
1400,16,42,1
1402,16,43,1
1404,16,44,1
1406,16,45,1
1439,16,17,1
1527,16,18,1
1615,16,19,1
1703,16,20,1
1791,16,21,1
1879,16,22,1
1967,16,23,1
2055,16,24,1
2143,16,25,1
2231,16,26,1
2319,16,27,1
2407,16,28,1
2495,16,29,1
2583,16,30,1
2671,16,31,1
2759,16,32,1
2847,16,33,1
2935,16,34,1
3023,16,35,1
3111,16,36,1
3199,16,37,1
3287,16,38,1
3375,16,39,1
3463,16,40,1
3551,16,41,1
3639,16,42,1
3727,16,43,1
3815,16,44,1
3903,16,45,1
31,17,1,1
119,17,2,1
207,17,3,1
295,17,4,1
383,17,5,1
471,17,6,1
559,17,7,1
647,17,8,1
735,17,9,1
823,17,10,1
911,17,11,1
999,17,12,1
1087,17,13,1
1175,17,14,1
1263,17,15,1
1351,17,16,1
1408,17,1,1
1410,17,2,1
1412,17,3,1
1414,17,4,1
1416,17,5,1
1418,17,6,1
1420,17,7,1
1422,17,8,1
1424,17,9,1
1426,17,10,1
1428,17,11,1
1430,17,12,1
1432,17,13,1
1434,17,14,1
1436,17,15,1
1438,17,16,1
1440,17,18,1
1442,17,19,1
1444,17,20,1
1446,17,21,1
1448,17,22,1
1450,17,23,1
1452,17,24,1
1454,17,25,1
1456,17,26,1
1458,17,27,1
1460,17,28,1
1462,17,29,1
1464,17,30,1
1466,17,31,1
1468,17,32,1
1470,17,33,1
1472,17,34,1
1474,17,35,1
1476,17,36,1
1478,17,37,1
1480,17,38,1
1482,17,39,1
1484,17,40,1
1486,17,41,1
1488,17,42,1
1490,17,43,1
1492,17,44,1
1494,17,45,1
1529,17,18,1
1617,17,19,1
1705,17,20,1
1793,17,21,1
1881,17,22,1
1969,17,23,1
2057,17,24,1
2145,17,25,1
2233,17,26,1
2321,17,27,1
2409,17,28,1
2497,17,29,1
2585,17,30,1
2673,17,31,1
2761,17,32,1
2849,17,33,1
2937,17,34,1
3025,17,35,1
3113,17,36,1
3201,17,37,1
3289,17,38,1
3377,17,39,1
3465,17,40,1
3553,17,41,1
3641,17,42,1
3729,17,43,1
3817,17,44,1
3905,17,45,1
33,18,1,1
121,18,2,1
209,18,3,1
297,18,4,1
385,18,5,1
473,18,6,1
561,18,7,1
649,18,8,1
737,18,9,1
825,18,10,1
913,18,11,1
1001,18,12,1
1089,18,13,1
1177,18,14,1
1265,18,15,1
1353,18,16,1
1441,18,17,1
1496,18,1,1
1498,18,2,1
1500,18,3,1
1502,18,4,1
1504,18,5,1
1506,18,6,1
1508,18,7,1
1510,18,8,1
1512,18,9,1
1514,18,10,1
1516,18,11,1
1518,18,12,1
1520,18,13,1
1522,18,14,1
1524,18,15,1
1526,18,16,1
1528,18,17,1
1530,18,19,1
1532,18,20,1
1534,18,21,1
1536,18,22,1
1538,18,23,1
1540,18,24,1
1542,18,25,1
1544,18,26,1
1546,18,27,1
1548,18,28,1
1550,18,29,1
1552,18,30,1
1554,18,31,1
1556,18,32,1
1558,18,33,1
1560,18,34,1
1562,18,35,1
1564,18,36,1
1566,18,37,1
1568,18,38,1
1570,18,39,1
1572,18,40,1
1574,18,41,1
1576,18,42,1
1578,18,43,1
1580,18,44,1
1582,18,45,1
1619,18,19,1
1707,18,20,1
1795,18,21,1
1883,18,22,1
1971,18,23,1
2059,18,24,1
2147,18,25,1
2235,18,26,1
2323,18,27,1
2411,18,28,1
2499,18,29,1
2587,18,30,1
2675,18,31,1
2763,18,32,1
2851,18,33,1
2939,18,34,1
3027,18,35,1
3115,18,36,1
3203,18,37,1
3291,18,38,1
3379,18,39,1
3467,18,40,1
3555,18,41,1
3643,18,42,1
3731,18,43,1
3819,18,44,1
3907,18,45,1
35,19,1,1
123,19,2,1
211,19,3,1
299,19,4,1
387,19,5,1
475,19,6,1
563,19,7,1
651,19,8,1
739,19,9,1
827,19,10,1
915,19,11,1
1003,19,12,1
1091,19,13,1
1179,19,14,1
1267,19,15,1
1355,19,16,1
1443,19,17,1
1531,19,18,1
1584,19,1,1
1586,19,2,1
1588,19,3,1
1590,19,4,1
1592,19,5,1
1594,19,6,1
1596,19,7,1
1598,19,8,1
1600,19,9,1
1602,19,10,1
1604,19,11,1
1606,19,12,1
1608,19,13,1
1610,19,14,1
1612,19,15,1
1614,19,16,1
1616,19,17,1
1618,19,18,1
1620,19,20,1
1622,19,21,1
1624,19,22,1
1626,19,23,1
1628,19,24,1
1630,19,25,1
1632,19,26,1
1634,19,27,1
1636,19,28,1
1638,19,29,1
1640,19,30,1
1642,19,31,1
1644,19,32,1
